{'src_ip': '13.89.178.27', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60455, 'packet_len': 56}
{'src_ip': '13.89.178.27', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60455, 'packet_len': 152}
{'src_ip': '192.168.240.214', 'dst_ip': '13.89.178.27', 'protocol': 6, 'src_port': 60455, 'dst_port': 443, 'packet_len': 89}
{'src_ip': '13.89.178.27', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60455, 'packet_len': 56}
{'src_ip': '192.168.240.214', 'dst_ip': '142.250.194.142', 'protocol': 17, 'src_port': 51482, 'dst_port': 443, 'packet_len': 189}
{'src_ip': '142.250.194.142', 'dst_ip': '192.168.240.214', 'protocol': 17, 'src_port': 443, 'dst_port': 51482, 'packet_len': 70}
{'src_ip': '192.168.240.214', 'dst_ip': '142.250.194.142', 'protocol': 17, 'src_port': 51482, 'dst_port': 443, 'packet_len': 74}
{'src_ip': '142.250.194.142', 'dst_ip': '192.168.240.214', 'protocol': 17, 'src_port': 443, 'dst_port': 51482, 'packet_len': 140}
{'src_ip': '142.250.194.142', 'dst_ip': '192.168.240.214', 'protocol': 17, 'src_port': 443, 'dst_port': 51482, 'packet_len': 318}
{'src_ip': '192.168.240.214', 'dst_ip': '142.250.194.142', 'protocol': 17, 'src_port': 51482, 'dst_port': 443, 'packet_len': 77}
{'src_ip': '142.250.194.142', 'dst_ip': '192.168.240.214', 'protocol': 17, 'src_port': 443, 'dst_port': 51482, 'packet_len': 66}
{'src_ip': '192.168.240.214', 'dst_ip': '142.250.4.188', 'protocol': 6, 'src_port': 59722, 'dst_port': 5228, 'packet_len': 55}
{'src_ip': '142.250.4.188', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 5228, 'dst_port': 59722, 'packet_len': 66}
{'src_ip': '192.168.240.214', 'dst_ip': '13.89.178.27', 'protocol': 6, 'src_port': 60455, 'dst_port': 443, 'packet_len': 172}
{'src_ip': '192.168.240.214', 'dst_ip': '13.89.178.27', 'protocol': 6, 'src_port': 60455, 'dst_port': 443, 'packet_len': 1354}
{'src_ip': '192.168.240.214', 'dst_ip': '13.89.178.27', 'protocol': 6, 'src_port': 60455, 'dst_port': 443, 'packet_len': 1354}
{'src_ip': '192.168.240.214', 'dst_ip': '13.89.178.27', 'protocol': 6, 'src_port': 60455, 'dst_port': 443, 'packet_len': 992}
{'src_ip': '13.89.178.27', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60455, 'packet_len': 56}
{'src_ip': '13.89.178.27', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60455, 'packet_len': 56}
{'src_ip': '13.89.178.27', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60455, 'packet_len': 153}
{'src_ip': '192.168.240.214', 'dst_ip': '13.89.178.27', 'protocol': 6, 'src_port': 60455, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '192.168.240.214', 'dst_ip': '13.107.6.175', 'protocol': 6, 'src_port': 60487, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '192.168.240.214', 'dst_ip': '13.89.178.27', 'protocol': 6, 'src_port': 60455, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '13.107.6.175', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60487, 'packet_len': 56}
{'src_ip': '13.107.6.175', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60487, 'packet_len': 54}
{'src_ip': '192.168.240.214', 'dst_ip': '13.107.6.175', 'protocol': 6, 'src_port': 60487, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '13.89.178.27', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60455, 'packet_len': 54}
{'src_ip': '192.168.240.214', 'dst_ip': '13.89.178.27', 'protocol': 6, 'src_port': 60455, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '192.168.240.214', 'dst_ip': '20.190.146.36', 'protocol': 6, 'src_port': 60056, 'dst_port': 443, 'packet_len': 1354}
{'src_ip': '192.168.240.214', 'dst_ip': '192.168.240.233', 'protocol': 17, 'src_port': 59737, 'dst_port': 53, 'packet_len': 82}
{'src_ip': '192.168.240.214', 'dst_ip': '192.168.240.233', 'protocol': 17, 'src_port': 58206, 'dst_port': 53, 'packet_len': 82}
{'src_ip': '192.168.240.214', 'dst_ip': '192.168.240.233', 'protocol': 17, 'src_port': 63144, 'dst_port': 53, 'packet_len': 82}
